開催回,日付,第1数字,第2数字,第3数字,第4数字,第5数字,第6数字,第7数字,BONUS数字1,BONUS数字2,セット
109,2015/5/15,6,17,20,21,24,30,32,7,23,B
110,2015/5/22,4,12,22,30,31,35,36,19,37,H
111,2015/5/29,7,8,9,24,28,30,33,1,34,J
112,2015/6/5,6,7,10,15,27,35,36,13,20,E
113,2015/6/12,4,6,7,9,15,17,37,14,20,C
114,2015/6/19,8,13,26,27,28,29,37,4,12,F
115,2015/6/26,6,8,13,14,20,25,27,24,26,G
116,2015/7/3,9,14,23,27,28,31,32,3,20,I
117,2015/7/10,9,10,20,28,31,34,37,23,26,A
118,2015/7/17,5,8,9,24,27,28,30,16,20,D
119,2015/7/24,3,6,8,14,15,25,36,24,35,B
120,2015/7/31,2,16,18,26,32,35,37,9,36,C
121,2015/8/7,2,4,13,16,21,30,37,19,29,J
122,2015/8/14,2,16,18,26,27,34,35,5,12,H
123,2015/8/21,1,3,5,8,29,34,36,23,28,E
124,2015/8/28,1,2,15,17,18,22,36,6,27,F
125,2015/9/4,1,6,11,14,19,28,35,18,21,I
126,2015/9/11,4,10,13,16,17,21,27,1,18,D
127,2015/9/18,10,12,15,23,28,30,35,6,25,A
128,2015/9/25,2,4,8,23,26,27,32,3,35,C
129,2015/10/2,5,7,11,19,24,27,30,29,35,G
130,2015/10/9,1,15,20,23,25,31,32,5,24,B
131,2015/10/16,3,4,12,17,32,34,36,23,31,J
132,2015/10/23,7,10,14,16,20,30,31,35,37,E
133,2015/10/30,3,7,13,15,17,21,30,14,27,D
134,2015/11/6,4,9,20,28,30,34,35,12,29,H
135,2015/11/13,8,9,13,14,24,32,34,3,4,F
136,2015/11/20,10,17,24,27,30,33,37,18,31,I
137,2015/11/27,13,19,21,25,27,32,35,16,20,A
138,2015/12/4,2,5,17,20,21,32,33,30,35,E
139,2015/12/11,9,16,18,21,23,34,35,4,36,C
140,2015/12/18,3,11,12,13,17,26,35,1,33,G
141,2015/12/25,2,10,18,30,31,32,36,21,29,B
142,2016/1/8,6,12,14,18,21,27,28,1,33,J
